sample_accession	study_accession
SAMEA4838178	PRJEB27624
SAMEA4838187	PRJEB27624
SAMEA4838188	PRJEB27624
SAMEA4838189	PRJEB27624
SAMEA4838190	PRJEB27624
SAMEA4838191	PRJEB27624
SAMEA4838179	PRJEB27624
SAMEA4838180	PRJEB27624
SAMEA4838181	PRJEB27624
SAMEA4838182	PRJEB27624
SAMEA4838183	PRJEB27624
SAMEA4838184	PRJEB27624
SAMEA4838185	PRJEB27624
SAMEA4838186	PRJEB27624
SAMEA4838192	PRJEB27624
SAMEA4838201	PRJEB27624
SAMEA4838202	PRJEB27624
SAMEA4838203	PRJEB27624
SAMEA4838204	PRJEB27624
SAMEA4838205	PRJEB27624
SAMEA4838193	PRJEB27624
SAMEA4838194	PRJEB27624
SAMEA4838195	PRJEB27624
SAMEA4838196	PRJEB27624
SAMEA4838197	PRJEB27624
SAMEA4838198	PRJEB27624
SAMEA4838199	PRJEB27624
SAMEA4838200	PRJEB27624
SAMN23561578	PRJNA785427
SAMN23561577	PRJNA785427
SAMN23561575	PRJNA785427
SAMN23561574	PRJNA785427
SAMN23561565	PRJNA785427
SAMN23561564	PRJNA785427
SAMN23561573	PRJNA785427
SAMN23561570	PRJNA785427
SAMN23561569	PRJNA785427
SAMN23561580	PRJNA785427
SAMN23561568	PRJNA785427
SAMN23561567	PRJNA785427
SAMN23561562	PRJNA785427
SAMN23561585	PRJNA785427
SAMN23561582	PRJNA785427
SAMN23561581	PRJNA785427
SAMN23561579	PRJNA785427
SAMN23561576	PRJNA785427
SAMN23561572	PRJNA785427
SAMN23561571	PRJNA785427
SAMN23561566	PRJNA785427
SAMN23561563	PRJNA785427
SAMN23561584	PRJNA785427
SAMN23561583	PRJNA785427
SAMN17392201	PRJNA693579
SAMN17392044	PRJNA693579
SAMN17392150	PRJNA693579
SAMN17391984	PRJNA693579
SAMN17391959	PRJNA693579
SAMN17392098	PRJNA693579
SAMN17392097	PRJNA693579
SAMN17391863	PRJNA693579
SAMN17391927	PRJNA693579
SAMN17391895	PRJNA693579
SAMN17391800	PRJNA693579
SAMN17392177	PRJNA693579
SAMN17391832	PRJNA693579
SAMN17392123	PRJNA693579
SAMN17392014	PRJNA693579
SAMN17392071	PRJNA693579
SAMN17392045	PRJNA693579
SAMN17391864	PRJNA693579
SAMN17392202	PRJNA693579
SAMN17392151	PRJNA693579
SAMN17391833	PRJNA693579
SAMN17391985	PRJNA693579
